DEBUG main com.arthur.crawler.Main - chapterUrl:http://vipreader.qidian.com/BookReader/vip,2524770,48186619.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44437128.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44446444.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44458773.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44468132.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44473591.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44488491.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44497416.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44513117.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44521608.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44528032.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44537849.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44554621.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44562610.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44570766.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44583711.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44591438.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44603739.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44613738.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44626013.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44632341.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44647009.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44653795.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44668014.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44674812.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44682783.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44699761.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44708183.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44719532.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44726486.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44736134.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44746898.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44759827.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44778111.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44787067.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44804212.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44811404.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44824673.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44830919.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44847733.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44851364.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44859973.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44865342.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44879803.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44887164.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44902705.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44909491.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44922849.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44930404.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44940580.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44948855.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44954716.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44963354.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44970838.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44981109.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44991041.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,44999658.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,45007705.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,45017551.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,45025784.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,45037801.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,45043155.aspx
         DEBUG main com.arthur.crawler.Main - chapterUrl:http://read.qidian.com/BookReader/2524770,45056805.aspx
